PIK #,Hall,Room #,Key
336661486,AH CONFERENCE,RAR-292a,NS-35L
336661487,AH CONFERENCE,RAR-292b,NS-35R
336661488,AH CONFERENCE,RAR-294a,NS-36L
336661489,AH CONFERENCE,RAR-294b,NS-36R
336661490,AH CONFERENCE,RAR-296Aa,NS-37A
336661491,AH CONFERENCE,RAR-296Ba,NS-37C
336661492,AH CONFERENCE,RAR-296Ca,NS-37C
336661493,AH CONFERENCE,RAR-298Aa,NS-38A
336661494,AH CONFERENCE,RAR-298Ba,NS-38B
336661495,AH CONFERENCE,RAR-298Ca,NS-38C
336661496,AH CONFERENCE,RAR-302Aa,ST-1A
336661497,AH CONFERENCE,RAR-302Ba,ST-1B
336661498,AH CONFERENCE,RAR-302Ca,ST-1C
336661499,AH CONFERENCE,RAR-304a,ST-2L
336661500,AH CONFERENCE,RAR-304b,ST-2R
336661501,AH CONFERENCE,RAR-306Aa,ST-3A
336661502,AH CONFERENCE,RAR-306Ba,ST-3B
336661503,AH CONFERENCE,RAR-306Ca,ST-3C
336661504,AH CONFERENCE,RAR-307Aa,ST-4A
336661505,AH CONFERENCE,RAR-307Ba,ST-4B
336661506,AH CONFERENCE,RAR-307Ca,ST-4C
336661507,AH CONFERENCE,RAR-308Aa,ST-5A
336661508,AH CONFERENCE,RAR-308Ba,ST-5B
336661509,AH CONFERENCE,RAR-308Ca,ST-5C
336661510,AH CONFERENCE,RAR-309a,ST-6L
336661511,AH CONFERENCE,RAR-309b,ST-6R
336661512,AH CONFERENCE,RAR-310Aa,ST-7A
336661513,AH CONFERENCE,RAR-310Ba,ST-7B
336661514,AH CONFERENCE,RAR-310Ca,ST-7C
336661515,AH CONFERENCE,RAR-311aR,ST-8L
336661516,AH CONFERENCE,RAR-312Aa,ST-9A
336661517,AH CONFERENCE,RAR-312Ba,ST-9B
336661518,AH CONFERENCE,RAR-312Ca,ST-9C
336661519,AH CONFERENCE,RAR-313Aa,ST-10A
336661520,AH CONFERENCE,RAR-313Ba,ST-10B
336661521,AH CONFERENCE,RAR-313Ca,ST-10C
336661522,AH CONFERENCE,RAR-314a,ST-11L
336661523,AH CONFERENCE,RAR-314b,ST-11R
336661524,AH CONFERENCE,RAR-315Aa,ST-12A
336661525,AH CONFERENCE,RAR-315Ba,ST-12B
336661526,AH CONFERENCE,RAR-315Ca,ST-12C
336661527,AH CONFERENCE,RAR-316Aa,ST-13A
336661528,AH CONFERENCE,RAR-316Ba,ST-13B
336661529,AH CONFERENCE,RAR-316Ca,ST-13C
336661530,AH CONFERENCE,RAR-317Aa,ST-14A
336661531,AH CONFERENCE,RAR-317Ba,ST-14B
336661532,AH CONFERENCE,RAR-317Ca,ST-14C
336661533,AH CONFERENCE,RAR-318Aa,ST-15A
336661534,AH CONFERENCE,RAR-318Ba,ST-15B
336661535,AH CONFERENCE,RAR-318Ca,ST-15C
